feature,VIF,flag
vict_descent_Hispanic_Latin_Mexican,223.85847306731068,PROBLEMATIC
vict_descent_Unknown,206.15559087780247,PROBLEMATIC
vict_descent_White,170.88982288121716,PROBLEMATIC
vict_descent_Black,128.04588712512955,PROBLEMATIC
vict_descent_Other,77.57244109840653,PROBLEMATIC
lat,31.127659470850688,PROBLEMATIC
premis_group_STREET,27.477019783395214,PROBLEMATIC
vict_descent_Other_Asian,23.624700906440296,PROBLEMATIC
premis_group_SINGLE_FAMILY_DWELLING,20.63139356987782,PROBLEMATIC
lon,19.71029301327692,PROBLEMATIC
vict_sex_Unknown,18.695923074014843,PROBLEMATIC
premis_group_Other,18.217485204224737,PROBLEMATIC
premis_group_MULTI_UNIT_DWELLING_APARTMENT_DUPLEX_ETC,16.014505922297104,PROBLEMATIC
area_name_Devonshire,12.45662286645586,PROBLEMATIC
area_name_Topanga,12.131119632308653,PROBLEMATIC
area_name_Mission,10.256997129669568,PROBLEMATIC
premis_group_PARKING_LOT,9.995930629399414,Investigate
area_name_West_Valley,9.287587688968713,Investigate
area_name_Foothill,7.626803135827306,Investigate
premis_group_OTHER_BUSINESS,7.379467264319907,Investigate
area_name_Van_Nuys,7.129419193798092,Investigate
area_name_N_Hollywood,6.773786493718855,Investigate
vict_descent_Korean,6.7492410088144466,Investigate
premis_group_SIDEWALK,6.718833610559341,Investigate
area_name_Harbor,5.870300081684031,Investigate
vict_descent_Filipino,5.523183523132982,Investigate
vict_descent_Chinese,5.188566692670436,Investigate
premis_group_VEHICLE_PASSENGER_TRUCK,4.9766691395747324,OK
area_name_West_LA,3.8787891311906075,OK
area_name_Hollywood,3.735477060236493,OK
area_name_Northeast,3.678305015954289,OK
premis_group_GARAGE_CARPORT,3.650619106018953,OK
area_name_Pacific,3.5231260306692107,OK
premis_group_DRIVEWAY,3.2040753747429074,OK
area_name_Central,3.1448916101035542,OK
premis_group_DEPARTMENT_STORE,2.8174680565467622,OK
area_name_Wilshire,2.7621732648775317,OK
premis_group_RESTAURANT_FAST_FOOD,2.75937160087364,OK
area_name_Hollenbeck,2.743779272126864,OK
area_name_Rampart,2.6255372228091285,OK
area_name_Olympic,2.62175790860907,OK
vict_descent_Japanese,2.478190967929547,OK
premis_group_PARKING_UNDERGROUND_BUILDING,2.171344559967612,OK
vict_descent_Vietnamese,2.1168431411651607,OK
premis_group_OTHER_PREMISE,2.1054789621501313,OK
vict_age,2.0852641102103364,OK
area_name_Southwest,2.0749364527272647,OK
premis_group_MARKET,2.069573638843795,OK
area_name_Newton,1.9840331982737378,OK
premis_group_OTHER_RESIDENCE,1.9799703192776674,OK
area_name_Southeast,1.9629152947490134,OK
premis_group_PARK_PLAYGROUND,1.9263241288671444,OK
premis_group_YARD_RESIDENTIAL_BUSINESS,1.8521857620043842,OK
premis_group_HOTEL,1.7951837109813784,OK
premis_group_GAS_STATION,1.7901464811798067,OK
vict_descent_Asian_Indian,1.526505353034191,OK
vict_sex_Male,1.3233532797523666,OK
vict_descent_Pacific_Islander,1.2831370487072689,OK
vict_descent_Hawaiian,1.2145908777372714,OK
vict_descent_Cambodian,1.083738095442771,OK
vict_descent_Guamanian,1.076863591193368,OK
vict_descent_Laotian,1.0723083274518694,OK
vict_descent_Samoan,1.056266185755288,OK
hour,1.0100498461856933,OK
day_of_week,1.001463289386209,OK
month,1.0003578417976653,OK
