,mean,std
premis_group,0.1564053078515021,0.0015852519185946792
vict_descent,0.02084663974585056,0.0009821394497408645
area_name,0.020759257077486513,0.0007644804792278024
vict_sex,0.01528160508976618,0.0016656393111770197
vict_age,0.00228164208154904,0.0005472524017581908
month,6.336470425856166e-05,0.0002417874509033816
day_of_week,-1.332567936929152e-06,0.0003498033857698958
lon,-0.00015837335227583126,0.00038370137358701795
hour,-0.0003243646744865325,0.00052117548949478
lat,-0.0011441315747461101,0.00037486435374992804
